         5864117 function calls (5727303 primitive calls) in 13.246 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.001    0.000    0.044    0.003 core.py:1(<module>)
        2    0.000    0.000    0.044    0.022 __config__.py:1(<module>)
       66    0.000    0.000    0.043    0.001 threading.py:916(start)
       94    0.000    0.000    0.042    0.000 dataclasses.py:1174(wrap)
       94    0.003    0.000    0.042    0.000 dataclasses.py:881(_process_class)
       40    0.000    0.000    0.042    0.001 _make.py:977(add_init)
       40    0.000    0.000    0.042    0.001 _make.py:2000(_make_init)
        1    0.000    0.000    0.041    0.041 contour.py:1(<module>)
        5    0.000    0.000    0.040    0.008 __init__.py:51(create_module)
        5    0.000    0.000    0.040    0.008 __init__.py:29(load_module)
        5    0.040    0.008    0.040    0.008 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.040    0.040 colors.py:1(<module>)
        7    0.000    0.000    0.040    0.006 random.py:1(<module>)
       40    0.000    0.000    0.039    0.001 _make.py:2120(_attrs_to_init_script)
      419    0.017    0.000    0.039    0.000 assumptions.py:596(__init__)
        3    0.000    0.000    0.039    0.013 _compat.py:39(__init__)
        1    0.000    0.000    0.039    0.039 inspect.py:2264(_signature_from_builtin)
        1    0.000    0.000    0.039    0.039 inspect.py:2117(_signature_fromstr)
        1    0.000    0.000    0.039    0.039 axes3d.py:1(<module>)
      828    0.001    0.000    0.039    0.000 __init__.py:2151(distributions_from_metadata)
        1    0.000    0.000    0.039    0.039 inspect.py:2045(_signature_strip_non_python_syntax)
       10    0.000    0.000    0.039    0.004 tokenize.py:431(_tokenize)
    28130    0.038    0.000    0.039    0.000 quadratic.py:131(__getitem__)
        1    0.000    0.000    0.039    0.039 tokenize.py:99(_compile)
        1    0.000    0.000    0.038    0.038 partfrac.py:1(<module>)
        1    0.000    0.000    0.038    0.038 decorator.py:60(xthreaded)
        1    0.000    0.000    0.038    0.038 decorator.py:11(threaded_factory)
     9214    0.036    0.000    0.037    0.000 sre_parse.py:173(append)
   138687    0.035    0.000    0.037    0.000 {built-in method builtins.getattr}
    28311    0.014    0.000    0.037    0.000 typing.py:1154(__subclasscheck__)
9632/9526    0.006    0.000    0.037    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.036    0.036 backend_bases.py:1(<module>)
        2    0.000    0.000    0.035    0.018 expr.py:1(<module>)
     1576    0.004    0.000    0.035    0.000 textwrap.py:422(dedent)
   413381    0.035    0.000    0.035    0.000 {method 'add' of 'set' objects}
     1589    0.013    0.000    0.035    0.000 inspect.py:2280(_signature_from_function)
        1    0.000    0.000    0.035    0.035 angle.py:1(<module>)
      831    0.035    0.000    0.035    0.000 {built-in method nt.listdir}
       85    0.000    0.000    0.034    0.000 dispatcher.py:178(add)
        2    0.000    0.000    0.034    0.017 binary_quadratic_model.py:1(<module>)
       85    0.000    0.000    0.034    0.000 dispatcher.py:222(reorder)
       34    0.000    0.000    0.034    0.001 _generate_schema.py:436(clean_schema)
      219    0.011    0.000    0.034    0.000 artist.py:1520(get_setters)
        1    0.000    0.000    0.033    0.033 iterables.py:1(<module>)
        1    0.000    0.000    0.033    0.033 polytools.py:1(<module>)
     5602    0.002    0.000    0.033    0.000 re.py:197(search)
        1    0.000    0.000    0.033    0.033 collections.py:1(<module>)
     3529    0.003    0.000    0.032    0.000 <frozen importlib._bootstrap>:169(__enter__)
        5    0.000    0.000    0.032    0.006 socket.py:938(getaddrinfo)
        5    0.032    0.006    0.032    0.006 {built-in method _socket.getaddrinfo}
        5    0.032    0.006    0.032    0.006 transforms.py:58(__init__)
     3077    0.002    0.000    0.032    0.000 ntpath.py:563(abspath)
        5    0.032    0.006    0.032    0.006 solver.py:761(<listcomp>)
        2    0.000    0.000    0.032    0.016 decorator.py:1(<module>)
        1    0.000    0.000    0.032    0.032 cost_functions.py:1(<module>)
     5283    0.004    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        1    0.005    0.005    0.031    0.031 facts.py:134(apply_beta_to_alpha_route)
      221    0.001    0.000    0.031    0.000 function.py:162(__init__)
        3    0.000    0.000    0.030    0.010 numbers.py:1(<module>)
   230708    0.030    0.000    0.030    0.000 {method 'startswith' of 'str' objects}
        9    0.000    0.000    0.030    0.003 _base.py:731(__init_subclass__)
        1    0.000    0.000    0.030    0.030 _discrete_distns.py:1(<module>)
        4    0.000    0.000    0.030    0.008 request.py:1(<module>)
        2    0.000    0.000    0.030    0.015 array.py:1(<module>)
        1    0.000    0.000    0.030    0.030 ctx_fp.py:1(<module>)
  130/121    0.001    0.000    0.029    0.000 _generate_schema.py:1779(_apply_annotations)
     2894    0.026    0.000    0.029    0.000 inspect.py:2920(__init__)
        1    0.000    0.000    0.029    0.029 runtests.py:1(<module>)
        2    0.000    0.000    0.028    0.014 constructor.py:1(<module>)
        1    0.000    0.000    0.028    0.028 cli.py:1(<module>)
        1    0.000    0.000    0.028    0.028 ctx_base.py:1(<module>)
      367    0.005    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
        2    0.000    0.000    0.028    0.014 text.py:1(<module>)
        1    0.000    0.000    0.028    0.028 _fontconfig_pattern.py:1(<module>)
      366    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
     6326    0.014    0.000    0.027    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      261    0.002    0.000    0.027    0.000 compute.py:120(_decorate_compute_function)
    18411    0.020    0.000    0.027    0.000 ntpath.py:150(splitdrive)
        1    0.000    0.000    0.027    0.027 second_quantization.py:1(<module>)
        1    0.000    0.000    0.026    0.026 lgmres.py:1(<module>)
      393    0.001    0.000    0.026    0.000 dataclasses.py:412(_create_fn)
        1    0.000    0.000    0.026    0.026 _base_connection.py:1(<module>)
        1    0.000    0.000    0.025    0.025 serving.py:1(<module>)
      261    0.001    0.000    0.025    0.000 compute.py:267(_make_signature)
        1    0.000    0.000    0.025    0.025 point.py:1(<module>)
        1    0.000    0.000    0.025    0.025 immutable.py:1(<module>)
        2    0.000    0.000    0.024    0.012 specifiers.py:1(<module>)
     2881    0.004    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
     2852    0.023    0.000    0.023    0.000 {method '__exit__' of '_io._IOBase' objects}
        3    0.000    0.000    0.023    0.008 matrices.py:1(<module>)
        1    0.000    0.000    0.023    0.023 entity.py:1(<module>)
